threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.35,0.99,0.52,0.37
0.1,0.39,0.98,0.56,0.48
0.15,0.43,0.93,0.59,0.55
0.2,0.72,0.77,0.74,0.82
0.25,0.74,0.76,0.75,0.83
0.3,0.77,0.74,0.76,0.83
0.35,0.78,0.72,0.75,0.84
0.4,0.8,0.68,0.74,0.83
0.45,0.82,0.65,0.73,0.83
0.5,0.85,0.6,0.7,0.83
0.55,0.9,0.59,0.71,0.84
0.6,0.95,0.57,0.71,0.84
0.65,0.95,0.55,0.7,0.84
0.7,0.97,0.53,0.69,0.83
0.75,0.97,0.52,0.68,0.83
0.8,0.97,0.51,0.67,0.83
0.85,0.98,0.5,0.66,0.82
0.9,0.98,0.49,0.65,0.82
0.95,0.99,0.49,0.65,0.82
1.0,1.0,0.14,0.25,0.7
