threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.44,0.9,0.59,0.57
0.1,0.47,0.88,0.61,0.61
0.15,0.5,0.84,0.63,0.66
0.2,0.55,0.81,0.66,0.71
0.25,0.6,0.77,0.67,0.74
0.3,0.65,0.74,0.69,0.77
0.35,0.69,0.72,0.7,0.79
0.4,0.73,0.69,0.71,0.8
0.45,0.76,0.67,0.71,0.81
0.5,0.77,0.65,0.71,0.81
0.55,0.82,0.62,0.7,0.82
0.6,0.84,0.59,0.69,0.82
0.65,0.85,0.57,0.68,0.82
0.7,0.86,0.55,0.67,0.82
0.75,0.87,0.53,0.66,0.81
0.8,0.88,0.51,0.65,0.81
0.85,0.87,0.47,0.61,0.79
0.9,0.86,0.42,0.56,0.78
0.95,0.83,0.34,0.48,0.75
1.0,0.81,0.3,0.43,0.73
