threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.34,1.0,0.51,0.34
0.1,0.35,0.99,0.52,0.36
0.15,0.36,0.93,0.52,0.41
0.2,0.38,0.88,0.53,0.47
0.25,0.41,0.82,0.55,0.54
0.3,0.45,0.74,0.56,0.6
0.35,0.48,0.65,0.55,0.63
0.4,0.55,0.61,0.58,0.7
0.45,0.58,0.51,0.54,0.71
0.5,0.62,0.42,0.5,0.71
0.55,0.61,0.33,0.43,0.7
0.6,0.63,0.24,0.34,0.69
0.65,0.64,0.15,0.24,0.68
0.7,0.66,0.08,0.14,0.67
0.75,0.62,0.02,0.05,0.66
0.8,1.0,0.0,0.01,0.66
0.85,0.0,0.0,0.0,0.66
0.9,0.0,0.0,0.0,0.66
0.95,0.0,0.0,0.0,0.66
1.0,0.0,0.0,0.0,0.66
