threshold,precision,recall,f1,accuracy
0.0,0.34,1.0,0.51,0.34
0.05,0.34,1.0,0.51,0.34
0.1,0.38,0.98,0.55,0.44
0.15,0.39,0.98,0.56,0.47
0.2,0.6,0.82,0.69,0.75
0.25,0.63,0.79,0.7,0.77
0.3,0.71,0.76,0.73,0.81
0.35,0.76,0.72,0.74,0.83
0.4,0.78,0.72,0.75,0.83
0.45,0.83,0.72,0.77,0.85
0.5,0.85,0.66,0.74,0.84
0.55,0.88,0.63,0.74,0.85
0.6,0.95,0.59,0.73,0.85
0.65,0.95,0.58,0.72,0.85
0.7,0.97,0.46,0.63,0.81
0.75,0.99,0.4,0.57,0.79
0.8,0.99,0.39,0.56,0.79
0.85,0.99,0.38,0.55,0.79
0.9,1.0,0.31,0.47,0.76
0.95,0.0,0.0,0.0,0.66
1.0,0.0,0.0,0.0,0.66
